white wine quality database, 0=undrinkable, 1=undrinkable, 2=undrinkable, 3=poor, 4=below average, 5=average, 6=above average, 7=good, 8=great, 9=superb, 10=unrivaled
sample,quality,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
1,3,8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8
2,3,5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7
3,3,9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5
4,3,7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5
5,3,6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6
6,3,10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6
7,3,7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1
8,3,8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4
9,3,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11
10,3,7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1
11,3,6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4
12,3,7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11
13,3,11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7
14,3,7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4
15,3,6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1
16,3,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8
17,3,9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11
18,3,6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11
19,3,6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5
20,3,6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5
21,4,6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8
22,4,9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1
23,4,5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7
24,4,6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9
25,4,7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4
26,4,7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6
27,4,6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7
28,4,6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9
29,4,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2
30,4,10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9
31,4,6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9
32,4,5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10
33,4,5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4
34,4,6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6
35,4,6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5
36,4,7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2
37,4,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6
38,4,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6
39,4,7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5
40,4,6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4
41,4,7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1
42,4,6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9
43,4,6.5,0.33,0.72,1.1,0.061,7,151,0.993,3.09,0.57,9.5
44,4,6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10
45,4,7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2
46,4,6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9
47,4,6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1
48,4,6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1
49,4,6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2
50,4,7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5
51,4,8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1
52,4,8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3
53,4,8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8
54,4,8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5
55,4,6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5
56,4,8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2
57,4,7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1
58,4,8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5
59,4,6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3
60,4,8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8
61,4,7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7
62,4,9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3
63,4,5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7
64,4,9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3
65,4,6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10
66,4,6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4
67,4,7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9
68,4,7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5
69,4,8,0.66,0.72,17.55,0.042,62,233,0.9999,2.92,0.68,9.4
70,4,6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6
71,4,6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6
72,4,9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4
73,4,6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5
74,4,6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2
75,4,9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1
76,4,9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10
77,4,7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1
78,4,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5
79,4,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5
80,4,7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1
81,4,6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9
82,4,8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5
83,4,8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5
84,4,7.1,0.64,0.49,1.8,0.05,17,128,0.9946,3.31,0.58,10.6
85,4,7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9
86,4,6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4
87,4,8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9
88,4,8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9
89,4,9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7
90,4,6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6
91,4,7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6
92,4,9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9
93,4,8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4
94,4,6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5
95,4,7.2,0.5,0,0.8,0.034,46,114,0.9932,3.19,0.34,9.2
96,4,10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10
97,4,7.6,0.26,0.36,1.6,0.032,6,106,0.993,3.15,0.4,10.4
98,4,9.9,1.005,0.46,1.4,0.046,34,185,0.9966,3.02,0.49,10.2
99,4,6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1
100,4,7.4,0.45,0.32,7.1,0.044,17,117,0.9962,3.32,0.41,10.4
101,4,6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7
102,4,8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3
103,4,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2
